"subject_id","story","first_actual","strategy","first_response","second_response","symmetric","Expectations","n_benefit","n_effort","diff_benefit","diff_effort","ci_lower_benefit","ci_lower_effort","ci_upper_benefit","ci_upper_effort","mean_benefit","mean_effort"
"0f81ef85beacaa244e9b5e890047d34c","conversation","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,0.879310344827586,-0.11864406779661,0.46551724137931,-0.471747765640516,1.33971416502394,0.203389830508475,0.878341982215326,-0.117292721594781
"0f81ef85beacaa244e9b5e890047d34c","scheduling","Higher","Reciprocity","Lower","Lower","Asymmetric","Inconsistent",58,59,2.12068965517241,1,1.64278571428571,0.575707898658718,2.62903225806452,1.40397660818713,2.13137983910964,0.996931282336261
"0f81ef85beacaa244e9b5e890047d34c","feedback","Lower","Precedent","Higher","Lower","Asymmetric","Inconsistent",58,59,1.31034482758621,0.288135593220339,0.883072859344046,0,1.75010245901639,0.578989813242784,1.31002906280608,0.280742022228618
"0f81ef85beacaa244e9b5e890047d34c","police","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,3.17241379310345,2.71186440677966,2.51834625322997,2.09602272727273,3.78090921300027,3.23638674884438,3.17846064943688,2.70419493789088
"0f81ef85beacaa244e9b5e890047d34c","group project","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,-0.172413793103448,1.79661016949153,-0.773584905660377,1.24991438356164,0.369991438356164,2.34068367346939,-0.180941984538132,1.80435060148817
"c08dfc4df63274ea56f6b40b0c4c9752","restaurant","Higher","Reciprocity","Lower","Lower","Asymmetric","Inconsistent",58,59,2.56896551724138,0.457627118644068,2.06110897189064,-0.0170573386224303,3.09273679417122,0.931162876008804,2.57419955784271,0.465163648916783
"c08dfc4df63274ea56f6b40b0c4c9752","concerts","Higher","Reciprocity","Higher","Lower","Asymmetric","Consistent",58,59,2.73214285714286,2.47457627118644,2.23518099547511,2.044375,3.20014705882353,2.85974880382775,2.72971401396074,2.4610984019289
"c08dfc4df63274ea56f6b40b0c4c9752","housemates","Higher","Reciprocity","Lower","Lower","Asymmetric","Inconsistent",58,59,1.05263157894737,1.91525423728814,0.630414653784219,1.4339465408805,1.46446428571429,2.33871651175506,1.04861374171997,1.90546635928757
"c08dfc4df63274ea56f6b40b0c4c9752","meeting prep","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,1.17241379310345,2.59322033898305,0.645758928571429,2.22913925438597,1.67284457478006,2.98414502164502,1.1618115530606,2.60024614603564
"c08dfc4df63274ea56f6b40b0c4c9752","meeting location","Higher","Reciprocity","Lower","Lower","Asymmetric","Inconsistent",58,59,0.410714285714286,1.16949152542373,0.0150000000000001,0.872694805194805,0.81640447845805,1.46153846153846,0.413773810859442,1.16730940352426
"c08dfc4df63274ea56f6b40b0c4c9752","weekend","Lower","Reciprocity","Lower","Higher","Asymmetric","Consistent",58,59,1.78947368421053,1.79310344827586,1.20746053138236,1.24989754098361,2.39291943521595,2.30323232323232,1.79660541482461,1.78408859367658
"c08dfc4df63274ea56f6b40b0c4c9752","coffee","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,2.03448275862069,2.08474576271186,1.5765350877193,1.65991791044776,2.48842694164107,2.44444444444444,2.02583866279633,2.085356746646
"c08dfc4df63274ea56f6b40b0c4c9752","group project","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,-0.172413793103448,1.79661016949153,-0.773584905660377,1.24991438356164,0.369991438356164,2.34068367346939,-0.180941984538132,1.80435060148817
"c08dfc4df63274ea56f6b40b0c4c9752","family meals","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,2.24137931034483,3.59322033898305,1.62062695924765,3.13107398066414,2.81650660264106,4.01725677339901,2.24381611921402,3.59542828261031
"c08dfc4df63274ea56f6b40b0c4c9752","conversation","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,0.879310344827586,-0.11864406779661,0.46551724137931,-0.471747765640516,1.33971416502394,0.203389830508475,0.878341982215326,-0.117292721594781
"c08dfc4df63274ea56f6b40b0c4c9752","police","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,3.17241379310345,2.71186440677966,2.51834625322997,2.09602272727273,3.78090921300027,3.23638674884438,3.17846064943688,2.70419493789088
"c08dfc4df63274ea56f6b40b0c4c9752","fundraising","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,0.912280701754386,2.6271186440678,0.371710526315789,2.24989035087719,1.47651975683891,2.9819050802139,0.89912098826636,2.62994369841563
"c08dfc4df63274ea56f6b40b0c4c9752","feedback","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,1.31034482758621,0.288135593220339,0.883072859344046,0,1.75010245901639,0.578989813242784,1.31002906280608,0.280742022228618
"c08dfc4df63274ea56f6b40b0c4c9752","groceries","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,2.93103448275862,1.83050847457627,2.43839546783626,1.452734375,3.36875598086124,2.24107142857143,2.92515446130523,1.82728540279804
"c08dfc4df63274ea56f6b40b0c4c9752","scheduling","Higher","Reciprocity","Lower","Lower","Asymmetric","Inconsistent",58,59,2.12068965517241,1,1.64278571428571,0.575707898658718,2.62903225806452,1.40397660818713,2.13137983910964,0.996931282336261
"c08dfc4df63274ea56f6b40b0c4c9752","architects","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,1.19298245614035,1.72413793103448,0.745352664576802,1.42178267045455,1.634765625,2.0578125,1.18803040197892,1.72801143005907
"c08dfc4df63274ea56f6b40b0c4c9752","gifts","Lower","Precedent","Higher","Lower","Asymmetric","Inconsistent",58,59,3.29824561403509,3.64406779661017,2.54092055485498,2.99960317460317,3.94741302408564,4.24502551020408,3.30515941053322,3.65639876683985
"c08dfc4df63274ea56f6b40b0c4c9752","babysitting","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,3.24137931034483,2.66101694915254,2.61988461538462,2.15245221781464,3.76842523860021,3.1250496031746,3.24067794402375,2.65897371256368
"1de91e73659da1b730c636d722ec62ef","coffee","Higher","Reciprocity","Higher","Lower","Asymmetric","Consistent",58,59,2.03448275862069,2.08474576271186,1.5765350877193,1.65991791044776,2.48842694164107,2.44444444444444,2.02583866279633,2.085356746646
"1de91e73659da1b730c636d722ec62ef","gifts","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,3.29824561403509,3.64406779661017,2.54092055485498,2.99960317460317,3.94741302408564,4.24502551020408,3.30515941053322,3.65639876683985
"1de91e73659da1b730c636d722ec62ef","groceries","Higher","Reciprocity","Higher","Lower","Asymmetric","Consistent",58,59,2.93103448275862,1.83050847457627,2.43839546783626,1.452734375,3.36875598086124,2.24107142857143,2.92515446130523,1.82728540279804
"1de91e73659da1b730c636d722ec62ef","scheduling","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,2.12068965517241,1,1.64278571428571,0.575707898658718,2.62903225806452,1.40397660818713,2.13137983910964,0.996931282336261
"1de91e73659da1b730c636d722ec62ef","conversation","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,0.879310344827586,-0.11864406779661,0.46551724137931,-0.471747765640516,1.33971416502394,0.203389830508475,0.878341982215326,-0.117292721594781
"1de91e73659da1b730c636d722ec62ef","weekend","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,1.78947368421053,1.79310344827586,1.20746053138236,1.24989754098361,2.39291943521595,2.30323232323232,1.79660541482461,1.78408859367658
"1de91e73659da1b730c636d722ec62ef","architects","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,1.19298245614035,1.72413793103448,0.745352664576802,1.42178267045455,1.634765625,2.0578125,1.18803040197892,1.72801143005907
"1de91e73659da1b730c636d722ec62ef","police","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,3.17241379310345,2.71186440677966,2.51834625322997,2.09602272727273,3.78090921300027,3.23638674884438,3.17846064943688,2.70419493789088
"1de91e73659da1b730c636d722ec62ef","babysitting","Higher","Reciprocity","Higher","Lower","Asymmetric","Consistent",58,59,3.24137931034483,2.66101694915254,2.61988461538462,2.15245221781464,3.76842523860021,3.1250496031746,3.24067794402375,2.65897371256368
"1de91e73659da1b730c636d722ec62ef","restaurant","Lower","Reciprocity","Lower","Higher","Asymmetric","Consistent",58,59,2.56896551724138,0.457627118644068,2.06110897189064,-0.0170573386224303,3.09273679417122,0.931162876008804,2.57419955784271,0.465163648916783
"1de91e73659da1b730c636d722ec62ef","concerts","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,2.73214285714286,2.47457627118644,2.23518099547511,2.044375,3.20014705882353,2.85974880382775,2.72971401396074,2.4610984019289
"1de91e73659da1b730c636d722ec62ef","group project","Higher","Reciprocity","Higher","Lower","Asymmetric","Consistent",58,59,-0.172413793103448,1.79661016949153,-0.773584905660377,1.24991438356164,0.369991438356164,2.34068367346939,-0.180941984538132,1.80435060148817
"1de91e73659da1b730c636d722ec62ef","meeting location","Lower","Reciprocity","Lower","Higher","Asymmetric","Consistent",58,59,0.410714285714286,1.16949152542373,0.0150000000000001,0.872694805194805,0.81640447845805,1.46153846153846,0.413773810859442,1.16730940352426
"1de91e73659da1b730c636d722ec62ef","meeting prep","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,1.17241379310345,2.59322033898305,0.645758928571429,2.22913925438597,1.67284457478006,2.98414502164502,1.1618115530606,2.60024614603564
"1de91e73659da1b730c636d722ec62ef","family meals","Higher","Reciprocity","Higher","Lower","Asymmetric","Consistent",58,59,2.24137931034483,3.59322033898305,1.62062695924765,3.13107398066414,2.81650660264106,4.01725677339901,2.24381611921402,3.59542828261031
"1de91e73659da1b730c636d722ec62ef","fundraising","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,0.912280701754386,2.6271186440678,0.371710526315789,2.24989035087719,1.47651975683891,2.9819050802139,0.89912098826636,2.62994369841563
"1de91e73659da1b730c636d722ec62ef","feedback","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,1.31034482758621,0.288135593220339,0.883072859344046,0,1.75010245901639,0.578989813242784,1.31002906280608,0.280742022228618
"1de91e73659da1b730c636d722ec62ef","housemates","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,1.05263157894737,1.91525423728814,0.630414653784219,1.4339465408805,1.46446428571429,2.33871651175506,1.04861374171997,1.90546635928757
"5101b2a2163c99ba336c22648a12bfbd","meeting location","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,0.410714285714286,1.16949152542373,0.0150000000000001,0.872694805194805,0.81640447845805,1.46153846153846,0.413773810859442,1.16730940352426
"5101b2a2163c99ba336c22648a12bfbd","group project","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,-0.172413793103448,1.79661016949153,-0.773584905660377,1.24991438356164,0.369991438356164,2.34068367346939,-0.180941984538132,1.80435060148817
"5101b2a2163c99ba336c22648a12bfbd","police","Higher","Reciprocity","Lower","Lower","Asymmetric","Inconsistent",58,59,3.17241379310345,2.71186440677966,2.51834625322997,2.09602272727273,3.78090921300027,3.23638674884438,3.17846064943688,2.70419493789088
"5101b2a2163c99ba336c22648a12bfbd","meeting prep","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,1.17241379310345,2.59322033898305,0.645758928571429,2.22913925438597,1.67284457478006,2.98414502164502,1.1618115530606,2.60024614603564
"5101b2a2163c99ba336c22648a12bfbd","weekend","Higher","Reciprocity","Higher","Lower","Asymmetric","Consistent",58,59,1.78947368421053,1.79310344827586,1.20746053138236,1.24989754098361,2.39291943521595,2.30323232323232,1.79660541482461,1.78408859367658
"5101b2a2163c99ba336c22648a12bfbd","restaurant","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,2.56896551724138,0.457627118644068,2.06110897189064,-0.0170573386224303,3.09273679417122,0.931162876008804,2.57419955784271,0.465163648916783
"5101b2a2163c99ba336c22648a12bfbd","family meals","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,2.24137931034483,3.59322033898305,1.62062695924765,3.13107398066414,2.81650660264106,4.01725677339901,2.24381611921402,3.59542828261031
"5101b2a2163c99ba336c22648a12bfbd","conversation","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,0.879310344827586,-0.11864406779661,0.46551724137931,-0.471747765640516,1.33971416502394,0.203389830508475,0.878341982215326,-0.117292721594781
"5101b2a2163c99ba336c22648a12bfbd","coffee","Lower","Precedent","Higher","Lower","Asymmetric","Inconsistent",58,59,2.03448275862069,2.08474576271186,1.5765350877193,1.65991791044776,2.48842694164107,2.44444444444444,2.02583866279633,2.085356746646
"5101b2a2163c99ba336c22648a12bfbd","scheduling","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,2.12068965517241,1,1.64278571428571,0.575707898658718,2.62903225806452,1.40397660818713,2.13137983910964,0.996931282336261
"5101b2a2163c99ba336c22648a12bfbd","groceries","Lower","Precedent","Higher","Lower","Asymmetric","Inconsistent",58,59,2.93103448275862,1.83050847457627,2.43839546783626,1.452734375,3.36875598086124,2.24107142857143,2.92515446130523,1.82728540279804
"5101b2a2163c99ba336c22648a12bfbd","concerts","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,2.73214285714286,2.47457627118644,2.23518099547511,2.044375,3.20014705882353,2.85974880382775,2.72971401396074,2.4610984019289
"5101b2a2163c99ba336c22648a12bfbd","fundraising","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,0.912280701754386,2.6271186440678,0.371710526315789,2.24989035087719,1.47651975683891,2.9819050802139,0.89912098826636,2.62994369841563
"5101b2a2163c99ba336c22648a12bfbd","architects","Lower","Precedent","Higher","Lower","Asymmetric","Inconsistent",58,59,1.19298245614035,1.72413793103448,0.745352664576802,1.42178267045455,1.634765625,2.0578125,1.18803040197892,1.72801143005907
"5101b2a2163c99ba336c22648a12bfbd","gifts","Higher","Reciprocity","Higher","Lower","Asymmetric","Consistent",58,59,3.29824561403509,3.64406779661017,2.54092055485498,2.99960317460317,3.94741302408564,4.24502551020408,3.30515941053322,3.65639876683985
"5101b2a2163c99ba336c22648a12bfbd","babysitting","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,3.24137931034483,2.66101694915254,2.61988461538462,2.15245221781464,3.76842523860021,3.1250496031746,3.24067794402375,2.65897371256368
"5101b2a2163c99ba336c22648a12bfbd","feedback","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,1.31034482758621,0.288135593220339,0.883072859344046,0,1.75010245901639,0.578989813242784,1.31002906280608,0.280742022228618
"5101b2a2163c99ba336c22648a12bfbd","housemates","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,1.05263157894737,1.91525423728814,0.630414653784219,1.4339465408805,1.46446428571429,2.33871651175506,1.04861374171997,1.90546635928757
"9805670813e7bc47d6bdddf5623f03f1","group project","Lower","Precedent","Higher","Lower","Asymmetric","Inconsistent",58,59,-0.172413793103448,1.79661016949153,-0.773584905660377,1.24991438356164,0.369991438356164,2.34068367346939,-0.180941984538132,1.80435060148817
"9805670813e7bc47d6bdddf5623f03f1","meeting prep","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,1.17241379310345,2.59322033898305,0.645758928571429,2.22913925438597,1.67284457478006,2.98414502164502,1.1618115530606,2.60024614603564
"9805670813e7bc47d6bdddf5623f03f1","housemates","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,1.05263157894737,1.91525423728814,0.630414653784219,1.4339465408805,1.46446428571429,2.33871651175506,1.04861374171997,1.90546635928757
"9805670813e7bc47d6bdddf5623f03f1","feedback","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,1.31034482758621,0.288135593220339,0.883072859344046,0,1.75010245901639,0.578989813242784,1.31002906280608,0.280742022228618
"9805670813e7bc47d6bdddf5623f03f1","meeting location","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,0.410714285714286,1.16949152542373,0.0150000000000001,0.872694805194805,0.81640447845805,1.46153846153846,0.413773810859442,1.16730940352426
"9805670813e7bc47d6bdddf5623f03f1","babysitting","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,3.24137931034483,2.66101694915254,2.61988461538462,2.15245221781464,3.76842523860021,3.1250496031746,3.24067794402375,2.65897371256368
"9805670813e7bc47d6bdddf5623f03f1","weekend","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,1.78947368421053,1.79310344827586,1.20746053138236,1.24989754098361,2.39291943521595,2.30323232323232,1.79660541482461,1.78408859367658
"9805670813e7bc47d6bdddf5623f03f1","architects","Lower","Precedent","Higher","Lower","Asymmetric","Inconsistent",58,59,1.19298245614035,1.72413793103448,0.745352664576802,1.42178267045455,1.634765625,2.0578125,1.18803040197892,1.72801143005907
"9805670813e7bc47d6bdddf5623f03f1","groceries","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,2.93103448275862,1.83050847457627,2.43839546783626,1.452734375,3.36875598086124,2.24107142857143,2.92515446130523,1.82728540279804
"9805670813e7bc47d6bdddf5623f03f1","restaurant","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,2.56896551724138,0.457627118644068,2.06110897189064,-0.0170573386224303,3.09273679417122,0.931162876008804,2.57419955784271,0.465163648916783
"9805670813e7bc47d6bdddf5623f03f1","family meals","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,2.24137931034483,3.59322033898305,1.62062695924765,3.13107398066414,2.81650660264106,4.01725677339901,2.24381611921402,3.59542828261031
"9805670813e7bc47d6bdddf5623f03f1","coffee","Lower","Precedent","Higher","Lower","Asymmetric","Inconsistent",58,59,2.03448275862069,2.08474576271186,1.5765350877193,1.65991791044776,2.48842694164107,2.44444444444444,2.02583866279633,2.085356746646
"9805670813e7bc47d6bdddf5623f03f1","police","Higher","Reciprocity","Lower","Lower","Asymmetric","Inconsistent",58,59,3.17241379310345,2.71186440677966,2.51834625322997,2.09602272727273,3.78090921300027,3.23638674884438,3.17846064943688,2.70419493789088
"9805670813e7bc47d6bdddf5623f03f1","concerts","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,2.73214285714286,2.47457627118644,2.23518099547511,2.044375,3.20014705882353,2.85974880382775,2.72971401396074,2.4610984019289
"9805670813e7bc47d6bdddf5623f03f1","scheduling","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,2.12068965517241,1,1.64278571428571,0.575707898658718,2.62903225806452,1.40397660818713,2.13137983910964,0.996931282336261
"9805670813e7bc47d6bdddf5623f03f1","gifts","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,3.29824561403509,3.64406779661017,2.54092055485498,2.99960317460317,3.94741302408564,4.24502551020408,3.30515941053322,3.65639876683985
"9805670813e7bc47d6bdddf5623f03f1","conversation","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,0.879310344827586,-0.11864406779661,0.46551724137931,-0.471747765640516,1.33971416502394,0.203389830508475,0.878341982215326,-0.117292721594781
"9805670813e7bc47d6bdddf5623f03f1","fundraising","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,0.912280701754386,2.6271186440678,0.371710526315789,2.24989035087719,1.47651975683891,2.9819050802139,0.89912098826636,2.62994369841563
"4cb90c5a920cf7116ccf8b8b2a8c3622","groceries","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,2.93103448275862,1.83050847457627,2.43839546783626,1.452734375,3.36875598086124,2.24107142857143,2.92515446130523,1.82728540279804
"4cb90c5a920cf7116ccf8b8b2a8c3622","meeting location","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,0.410714285714286,1.16949152542373,0.0150000000000001,0.872694805194805,0.81640447845805,1.46153846153846,0.413773810859442,1.16730940352426
"4cb90c5a920cf7116ccf8b8b2a8c3622","fundraising","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,0.912280701754386,2.6271186440678,0.371710526315789,2.24989035087719,1.47651975683891,2.9819050802139,0.89912098826636,2.62994369841563
"4cb90c5a920cf7116ccf8b8b2a8c3622","babysitting","Higher","Reciprocity","Lower","Lower","Asymmetric","Inconsistent",58,59,3.24137931034483,2.66101694915254,2.61988461538462,2.15245221781464,3.76842523860021,3.1250496031746,3.24067794402375,2.65897371256368
"4cb90c5a920cf7116ccf8b8b2a8c3622","concerts","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,2.73214285714286,2.47457627118644,2.23518099547511,2.044375,3.20014705882353,2.85974880382775,2.72971401396074,2.4610984019289
"4cb90c5a920cf7116ccf8b8b2a8c3622","family meals","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,2.24137931034483,3.59322033898305,1.62062695924765,3.13107398066414,2.81650660264106,4.01725677339901,2.24381611921402,3.59542828261031
"4cb90c5a920cf7116ccf8b8b2a8c3622","conversation","Lower","Precedent","Higher","Lower","Asymmetric","Inconsistent",58,59,0.879310344827586,-0.11864406779661,0.46551724137931,-0.471747765640516,1.33971416502394,0.203389830508475,0.878341982215326,-0.117292721594781
"4cb90c5a920cf7116ccf8b8b2a8c3622","weekend","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,1.78947368421053,1.79310344827586,1.20746053138236,1.24989754098361,2.39291943521595,2.30323232323232,1.79660541482461,1.78408859367658
"4cb90c5a920cf7116ccf8b8b2a8c3622","coffee","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,2.03448275862069,2.08474576271186,1.5765350877193,1.65991791044776,2.48842694164107,2.44444444444444,2.02583866279633,2.085356746646
"4cb90c5a920cf7116ccf8b8b2a8c3622","police","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,3.17241379310345,2.71186440677966,2.51834625322997,2.09602272727273,3.78090921300027,3.23638674884438,3.17846064943688,2.70419493789088
"4cb90c5a920cf7116ccf8b8b2a8c3622","gifts","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,3.29824561403509,3.64406779661017,2.54092055485498,2.99960317460317,3.94741302408564,4.24502551020408,3.30515941053322,3.65639876683985
"4cb90c5a920cf7116ccf8b8b2a8c3622","feedback","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,1.31034482758621,0.288135593220339,0.883072859344046,0,1.75010245901639,0.578989813242784,1.31002906280608,0.280742022228618
"4cb90c5a920cf7116ccf8b8b2a8c3622","group project","Higher","Reciprocity","Higher","Lower","Asymmetric","Consistent",58,59,-0.172413793103448,1.79661016949153,-0.773584905660377,1.24991438356164,0.369991438356164,2.34068367346939,-0.180941984538132,1.80435060148817
"4cb90c5a920cf7116ccf8b8b2a8c3622","scheduling","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,2.12068965517241,1,1.64278571428571,0.575707898658718,2.62903225806452,1.40397660818713,2.13137983910964,0.996931282336261
"4cb90c5a920cf7116ccf8b8b2a8c3622","restaurant","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,2.56896551724138,0.457627118644068,2.06110897189064,-0.0170573386224303,3.09273679417122,0.931162876008804,2.57419955784271,0.465163648916783
"4cb90c5a920cf7116ccf8b8b2a8c3622","meeting prep","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,1.17241379310345,2.59322033898305,0.645758928571429,2.22913925438597,1.67284457478006,2.98414502164502,1.1618115530606,2.60024614603564
"4cb90c5a920cf7116ccf8b8b2a8c3622","architects","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,1.19298245614035,1.72413793103448,0.745352664576802,1.42178267045455,1.634765625,2.0578125,1.18803040197892,1.72801143005907
"4cb90c5a920cf7116ccf8b8b2a8c3622","housemates","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,1.05263157894737,1.91525423728814,0.630414653784219,1.4339465408805,1.46446428571429,2.33871651175506,1.04861374171997,1.90546635928757
"aa39df0ae8fcf1f6173486a0c46933c4","weekend","Higher","Reciprocity","Lower","Lower","Asymmetric","Inconsistent",58,59,1.78947368421053,1.79310344827586,1.20746053138236,1.24989754098361,2.39291943521595,2.30323232323232,1.79660541482461,1.78408859367658
"aa39df0ae8fcf1f6173486a0c46933c4","architects","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,1.19298245614035,1.72413793103448,0.745352664576802,1.42178267045455,1.634765625,2.0578125,1.18803040197892,1.72801143005907
"aa39df0ae8fcf1f6173486a0c46933c4","babysitting","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,3.24137931034483,2.66101694915254,2.61988461538462,2.15245221781464,3.76842523860021,3.1250496031746,3.24067794402375,2.65897371256368
"aa39df0ae8fcf1f6173486a0c46933c4","meeting prep","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,1.17241379310345,2.59322033898305,0.645758928571429,2.22913925438597,1.67284457478006,2.98414502164502,1.1618115530606,2.60024614603564
"aa39df0ae8fcf1f6173486a0c46933c4","police","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,3.17241379310345,2.71186440677966,2.51834625322997,2.09602272727273,3.78090921300027,3.23638674884438,3.17846064943688,2.70419493789088
"aa39df0ae8fcf1f6173486a0c46933c4","coffee","Higher","Reciprocity","Lower","Lower","Asymmetric","Inconsistent",58,59,2.03448275862069,2.08474576271186,1.5765350877193,1.65991791044776,2.48842694164107,2.44444444444444,2.02583866279633,2.085356746646
"aa39df0ae8fcf1f6173486a0c46933c4","family meals","Higher","Reciprocity","Lower","Lower","Asymmetric","Inconsistent",58,59,2.24137931034483,3.59322033898305,1.62062695924765,3.13107398066414,2.81650660264106,4.01725677339901,2.24381611921402,3.59542828261031
"aa39df0ae8fcf1f6173486a0c46933c4","conversation","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,0.879310344827586,-0.11864406779661,0.46551724137931,-0.471747765640516,1.33971416502394,0.203389830508475,0.878341982215326,-0.117292721594781
"aa39df0ae8fcf1f6173486a0c46933c4","scheduling","Higher","Reciprocity","Higher","Lower","Asymmetric","Consistent",58,59,2.12068965517241,1,1.64278571428571,0.575707898658718,2.62903225806452,1.40397660818713,2.13137983910964,0.996931282336261
"aa39df0ae8fcf1f6173486a0c46933c4","concerts","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,2.73214285714286,2.47457627118644,2.23518099547511,2.044375,3.20014705882353,2.85974880382775,2.72971401396074,2.4610984019289
"aa39df0ae8fcf1f6173486a0c46933c4","housemates","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,1.05263157894737,1.91525423728814,0.630414653784219,1.4339465408805,1.46446428571429,2.33871651175506,1.04861374171997,1.90546635928757
"aa39df0ae8fcf1f6173486a0c46933c4","fundraising","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,0.912280701754386,2.6271186440678,0.371710526315789,2.24989035087719,1.47651975683891,2.9819050802139,0.89912098826636,2.62994369841563
"aa39df0ae8fcf1f6173486a0c46933c4","gifts","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,3.29824561403509,3.64406779661017,2.54092055485498,2.99960317460317,3.94741302408564,4.24502551020408,3.30515941053322,3.65639876683985
"aa39df0ae8fcf1f6173486a0c46933c4","restaurant","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,2.56896551724138,0.457627118644068,2.06110897189064,-0.0170573386224303,3.09273679417122,0.931162876008804,2.57419955784271,0.465163648916783
"aa39df0ae8fcf1f6173486a0c46933c4","meeting location","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,0.410714285714286,1.16949152542373,0.0150000000000001,0.872694805194805,0.81640447845805,1.46153846153846,0.413773810859442,1.16730940352426
